Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F175;CEL-FLEX 50,0MM;CABO ELETRICO FLEXIVEL 50,0MM PRETO MAXFIO# 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
F175B;CEL-FLEX 50,0MM;CABO ELETRICO FLEXIVEL 50,0MM PRETO MAXFIO# METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
F176B;CEL-FLEX 50,0MM;CABO ELETRICO FLEXIVEL 50,0MM VERDE MAXFIO# METRO;M;0.0;0.0;0.0;0.0;0.0;0.0
F176;CEL-FLEX 50,0MM;CABO ELETRICO FLEXIVEL 50,0MM VERDE MAXFIO# 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0
F024;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 450/750V NBR247 100M;RL;326.8077;4.8;2.236;0.0;0.0133;7.0493
F024;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 450/750V NBR247 100M;RL;326.8077;2.97;2.35;0.0;0.019;5.339
F024;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 450/750V NBR247 100M;RL;326.8077;3.08;2.3;0.0;0.019;5.399
F022B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERDE MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;4.8;2.236;0.0;0.0133;7.0493
F022B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERDE MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;2.97;2.35;0.0;0.019;5.339
F022B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERDE MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;3.08;2.3;0.0;0.019;5.399
F023B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AZUL MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;4.8;2.236;0.0;0.0133;7.0493
F023B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AZUL MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;2.97;2.35;0.0;0.019;5.339
F023B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AZUL MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;3.08;2.3;0.0;0.019;5.399
F024B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 40/750V NBR247 METRO (BOBINA);M;3.2681;4.8;2.236;0.0;0.0133;7.0493
F024B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 40/750V NBR247 METRO (BOBINA);M;3.2681;2.97;2.35;0.0;0.019;5.339
F024B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM BRANCO MAXFIO 40/750V NBR247 METRO (BOBINA);M;3.2681;3.08;2.3;0.0;0.019;5.399
F021B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AMARELO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;4.8;2.236;0.0;0.0133;7.0493
F021B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AMARELO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;2.97;2.35;0.0;0.019;5.339
F021B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM AMARELO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;3.08;2.3;0.0;0.019;5.399
F020B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERMELHO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;4.8;2.236;0.0;0.0133;7.0493
F020B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERMELHO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;2.97;2.35;0.0;0.019;5.339
F020B;CEL-FLEX 6,0MM;CABO ELETRICO FLEX 6,0MM VERMELHO MAXFIO 450/750V NBR247 METRO (BOBINA);M;3.2681;3.08;2.3;0.0;0.019;5.399
S006;CEL-FLEX 6,0MM;CABO SOLAR ATOX FLEX 1,8KV 6,0MM PRETO 100M;RL;318.6375;4.8;2.236;0.0;0.0133;7.0493
S006;CEL-FLEX 6,0MM;CABO SOLAR ATOX FLEX 1,8KV 6,0MM PRETO 100M;RL;318.6375;2.97;2.35;0.0;0.019;5.339
S006;CEL-FLEX 6,0MM;CABO SOLAR ATOX FLEX 1,8KV 6,0MM PRETO 100M;RL;318.6375;3.08;2.3;0.0;0.019;5.399
