Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
V697;CABO DE CONTROLE PP;CABO DE CONTROLE PP 7X2,5MM METRO;M;13.136399999999998;0.126;0.0;0.22;0.0;0.0;0.34600000000000003
V698;CABO 1KV HEPR;CABO 1KV HEPR 10MM ROLO 100M;RL;686.9150000000001;7.8;0.0;3.29;0.0;0.0;11.09
V699;CABO 1KV HEPR;CABO 1KV HEPR 10MM METRO;M;6.869150000000001;0.078;0.0;0.0329;0.0;0.0;0.1109
V700;CABO 1KV HEPR;CABO 1KV HEPR 16MM ROLO 100M;RL;1043.85;11.9;0.0;4.62;0.0;0.0;16.52
V701;CABO 1KV HEPR;CABO 1KV HEPR 16MM METRO;M;10.4385;0.11900000000000001;0.0;0.0462;0.0;0.0;0.16519999999999999
V702;CABO 1KV HEPR;CABO 1KV HEPR 25MM ROLO 100M;RL;1560.855;17.7;0.0;7.77;0.0;0.0;25.47
V703;CABO 1KV HEPR;CABO 1KV HEPR 25MM METRO;M;15.608550000000001;0.177;0.0;0.07769999999999999;0.0;0.0;0.2547
V704;CABO 1KV HEPR;CABO 1KV HEPR 35MM ROLO 100M;RL;2105.735;24.22;0.0;8.01;0.0;0.0;32.230000000000004
V705;CABO 1KV HEPR;CABO 1KV HEPR 35MM METRO;M;21.05735;0.2422;0.0;0.0801;0.0;0.0;0.32230000000000003
V706;CABO 1KV HEPR;CABO 1KV HEPR 50MM ROLO 100M;RL;2910.85;33.5;0.0;11.1;0.0;0.0;44.6
V707;CABO 1KV HEPR;CABO 1KV HEPR 50MM METRO;M;29.1085;0.335;0.0;0.111;0.0;0.0;0.446
V708;CABO 1KV HEPR;CABO 1KV HEPR 70MM ROLO 100M;RL;4145.3;47.4;0.0;18.0;0.0;0.0;65.4
V709;CABO 1KV HEPR;CABO 1KV HEPR 70MM METRO;M;41.453;0.474;0.0;0.18;0.0;0.0;0.654
V710;CABO 1KV HEPR;CABO 1KV HEPR 95MM ROLO 100M;RL;5796.200000000001;66.2;0.0;25.0;0.0;0.0;91.2
V711;CABO 1KV HEPR;CABO 1KV HEPR 95MM METRO;M;57.96200000000001;0.662;0.0;0.25;0.0;0.0;0.912
V712;CABO 1KV HEPR;CABO 1KV HEPR 120MM ROLO 100M;RL;7342.85;86.0;0.0;16.5;0.0;0.0;102.5
V713;CABO 1KV HEPR;CABO 1KV HEPR 120MM METRO;M;73.4285;0.86;0.0;0.165;0.0;0.0;1.025
V714;CABO 1KV HEPR;CABO 1KV HEPR 150MM ROLO 100M;RL;9425.6;107.5;0.0;42.0;0.0;0.0;149.5
V715;CABO 1KV HEPR;CABO 1KV HEPR 150MM METRO;M;94.256;1.075;0.0;0.42;0.0;0.0;1.495
V716;CABO 1KV HEPR;CABO 1KV HEPR 185MM ROLO 100M;RL;11274.1;130.0;0.0;40.0;0.0;0.0;170.0
V717;CABO 1KV HEPR;CABO 1KV HEPR 185MM METRO;M;112.741;1.3;0.0;0.4;0.0;0.0;1.7
V718;CABO 1KV HEPR;CABO 1KV HEPR 240MM ROLO 100M;RL;14310.6;164.5;0.0;54.0;0.0;0.0;218.5
V719;CABO 1KV HEPR;CABO 1KV HEPR 240MM METRO;M;143.106;1.645;0.0;0.54;0.0;0.0;2.185
V720;CABO 1KV HEPR;CABO 1KV HEPR 300MM ROLO 100M;RL;19301.1;220.0;0.0;86.0;0.0;0.0;306.0
V721;CABO 1KV HEPR;CABO 1KV HEPR 300MM METRO;M;193.011;2.2;0.0;0.86;0.0;0.0;3.06
V722;ATOXI FLEXIVEL;ATOXI FLEXIVEL 0.5MM ROLO 100M;RL;50.970000000000006;0.39;0.0;1.0;0.0;0.0133;1.4033000000000002
V723;ATOXI FLEXIVEL;ATOXI FLEXIVEL 0.5MM METRO;M;0.5097;0.0039000000000000003;0.0;0.01;0.0;0.00013299999999999998;0.014033000000000002
V724;PARALELO;PARALELO 2X0,75MM ROLO 100M;RL;114.85000000000001;1.1;0.0;1.5;0.0;0.03;2.63
V725;PARALELO;PARALELO 2X0,75MM METRO;M;1.1485;0.011000000000000001;0.0;0.015;0.0;0.0003;0.0263
V726;ATOXI CABO EM 1KV HEPR;ATOXI CABO EM 1KV HEPR 10MM ROLO 100M;RL;707.472;7.8;0.0;3.29;0.0;0.0133;11.103299999999999
V727;ATOXI CABO EM 1KV HEPR;ATOXI CABO EM 1KV HEPR 10MM METRO;M;7.07472;0.078;0.0;0.0329;0.0;0.00013299999999999998;0.11103299999999999
V730;ATOXI FLEXIVEL;ATOXI FLEXIVEL 0.5MM ROLO 100M;RL;65.63091025641026;0.39;0.0;1.0;0.0;0.0133;1.4033000000000002
V731;ATOXI FLEXIVEL;ATOXI FLEXIVEL 0.5MM METRO;M;0.6563091025641026;0.0039000000000000003;0.0;0.01;0.0;0.00013299999999999998;0.014033000000000002
V732;PARALELO;PARALELO 2X0,75MM ROLO 100M;RL;117.82179487179488;1.1;0.0;1.5;0.0;0.03;2.63
V733;PARALELO;PARALELO 2X0,75MM METRO;M;1.1782179487179487;0.011000000000000001;0.0;0.015;0.0;0.0003;0.0263
V734;ATOXI CABO EM 1KV HEPR;ATOXI CABO EM 1KV HEPR 10MM ROLO 100M;RL;907.0153846153845;7.8;0.0;2.27;1.02;0.0133;11.103299999999999
V735;ATOXI CABO EM 1KV HEPR;ATOXI CABO EM 1KV HEPR 10MM METRO;M;9.070153846153845;0.078;0.0;0.0227;0.0102;0.00013299999999999998;0.11103299999999999
V736;CABO DE SOLDA;CABO DE SOLDA 16MM ROLO 100M;RL;0.0;11.9;0.0;6.5;0.0;0.0;18.4
V737;CABO DE SOLDA;CABO DE SOLDA 16MM METRO;M;0.0;0.11900000000000001;0.0;0.065;0.0;0.0;0.184
V740;MP025;MP025 ACMM ROLO 100M;RL;0.0;7.0;0.0;25.0;175.0;0.0;0.0
V741;MP025;MP025 ACMM METRO;M;0.0;0.07;0.0;0.25;1.75;0.0;0.0
